Date,Ticker,Property,Value
2024-10-01,Apple,Skew,-0.1
2024-10-01,Apple,Smile,0.02
2024-10-01,Apple,Sigma,-0.82
2024-10-01,Amazon,Skew,-0.3
2024-10-01,Amazon,Smile,-0.51
2024-10-01,Amazon,Sigma,0.42
2024-10-01,Citi,Skew,0.93
2024-10-01,Citi,Smile,0.97
2024-10-01,Citi,Sigma,0.07
2024-10-02,Apple,Skew,-0.7
2024-10-02,Apple,Smile,1.0
2024-10-02,Apple,Sigma,0.68
2024-10-02,Amazon,Skew,-0.37
2024-10-02,Amazon,Smile,-0.29
2024-10-02,Amazon,Sigma,-0.4
2024-10-02,Citi,Skew,0.49
2024-10-02,Citi,Smile,-0.66
2024-10-02,Citi,Sigma,-0.97
2024-10-03,Apple,Skew,-0.95
2024-10-03,Apple,Smile,-0.46
2024-10-03,Apple,Sigma,0.18
2024-10-03,Amazon,Skew,0.41
2024-10-03,Amazon,Smile,1.0
2024-10-03,Amazon,Sigma,0.4
2024-10-03,Citi,Skew,0.71
2024-10-03,Citi,Smile,-0.57
2024-10-03,Citi,Sigma,0.38
2024-10-04,Apple,Skew,0.06
2024-10-04,Apple,Smile,-0.91
2024-10-04,Apple,Sigma,-0.42
2024-10-04,Amazon,Skew,0.88
2024-10-04,Amazon,Smile,-0.27
2024-10-04,Amazon,Sigma,-0.31
2024-10-04,Citi,Skew,-0.69
2024-10-04,Citi,Smile,0.14
2024-10-04,Citi,Sigma,-0.36
2024-10-05,Apple,Skew,-0.66
2024-10-05,Apple,Smile,-0.39
2024-10-05,Apple,Sigma,-0.72
2024-10-05,Amazon,Skew,0.52
2024-10-05,Amazon,Smile,-0.87
2024-10-05,Amazon,Sigma,0.79
2024-10-05,Citi,Skew,0.49
2024-10-05,Citi,Smile,-0.13
2024-10-05,Citi,Sigma,0.88
2024-10-06,Apple,Skew,0.58
2024-10-06,Apple,Smile,-0.75
2024-10-06,Apple,Sigma,0.22
2024-10-06,Amazon,Skew,0.38
2024-10-06,Amazon,Smile,0.13
2024-10-06,Amazon,Sigma,-0.52
2024-10-06,Citi,Skew,-0.97
2024-10-06,Citi,Smile,0.16
2024-10-06,Citi,Sigma,0.7
2024-10-07,Apple,Skew,0.38
2024-10-07,Apple,Smile,-0.31
2024-10-07,Apple,Sigma,-0.36
2024-10-07,Amazon,Skew,0.19
2024-10-07,Amazon,Smile,0.64
2024-10-07,Amazon,Sigma,-0.41
2024-10-07,Citi,Skew,0.79
2024-10-07,Citi,Smile,0.94
2024-10-07,Citi,Sigma,-0.91
2024-10-08,Apple,Skew,0.0
2024-10-08,Apple,Smile,0.23
2024-10-08,Apple,Sigma,0.38
2024-10-08,Amazon,Skew,0.64
2024-10-08,Amazon,Smile,-0.45
2024-10-08,Amazon,Sigma,0.01
2024-10-08,Citi,Skew,-0.49
2024-10-08,Citi,Smile,0.85
2024-10-08,Citi,Sigma,0.09
2024-10-09,Apple,Skew,-0.12
2024-10-09,Apple,Smile,-0.09
2024-10-09,Apple,Sigma,0.57
2024-10-09,Amazon,Skew,-0.27
2024-10-09,Amazon,Smile,0.17
2024-10-09,Amazon,Sigma,0.95
2024-10-09,Citi,Skew,0.76
2024-10-09,Citi,Smile,0.58
2024-10-09,Citi,Sigma,0.02
2024-10-10,Apple,Skew,0.65
2024-10-10,Apple,Smile,0.88
2024-10-10,Apple,Sigma,0.86
2024-10-10,Amazon,Skew,0.53
2024-10-10,Amazon,Smile,0.41
2024-10-10,Amazon,Sigma,-0.45
2024-10-10,Citi,Skew,-0.46
2024-10-10,Citi,Smile,0.47
2024-10-10,Citi,Sigma,-0.41
2024-10-11,Apple,Skew,0.42
2024-10-11,Apple,Smile,0.62
2024-10-11,Apple,Sigma,-0.84
2024-10-11,Amazon,Skew,-0.37
2024-10-11,Amazon,Smile,0.21
2024-10-11,Amazon,Sigma,0.57
2024-10-11,Citi,Skew,-0.09
2024-10-11,Citi,Smile,0.62
2024-10-11,Citi,Sigma,0.06
2024-10-12,Apple,Skew,-0.28
2024-10-12,Apple,Smile,0.32
2024-10-12,Apple,Sigma,0.82
2024-10-12,Amazon,Skew,-0.86
2024-10-12,Amazon,Smile,-1.0
2024-10-12,Amazon,Sigma,0.43
2024-10-12,Citi,Skew,0.88
2024-10-12,Citi,Smile,0.93
2024-10-12,Citi,Sigma,-0.71
2024-10-13,Apple,Skew,12.7
2024-10-13,Apple,Smile,14.24
2024-10-13,Apple,Sigma,10.51
2024-10-13,Amazon,Skew,14.48
2024-10-13,Amazon,Smile,13.06
2024-10-13,Amazon,Sigma,12.0
2024-10-13,Citi,Skew,13.87
2024-10-13,Citi,Smile,14.25
2024-10-13,Citi,Sigma,11.46
2024-10-14,Apple,Skew,0.23
2024-10-14,Apple,Smile,0.01
2024-10-14,Apple,Sigma,-0.42
2024-10-14,Amazon,Skew,0.89
2024-10-14,Amazon,Smile,0.95
2024-10-14,Amazon,Sigma,0.4
2024-10-14,Citi,Skew,-0.02
2024-10-14,Citi,Smile,0.05
2024-10-14,Citi,Sigma,-0.95
2024-10-15,Apple,Skew,0.76
2024-10-15,Apple,Smile,-0.79
2024-10-15,Apple,Sigma,0.9
2024-10-15,Amazon,Skew,0.68
2024-10-15,Amazon,Smile,-0.44
2024-10-15,Amazon,Sigma,0.1
2024-10-15,Citi,Skew,-0.17
2024-10-15,Citi,Smile,-0.99
